"city","country","pop2024","latitude","longitude"
"Toronto","Canada",2600000,43.7001,-79.4163
"Montreal","Canada",1600000,45.5088,-73.5878
"Calgary","Canada",1019942,51.0501,-114.085
"Ottawa","Canada",812129,45.4112,-75.6981
"Edmonton","Canada",712391,53.5501,-113.469
"Mississauga","Canada",668549,43.5789,-79.6583
"North York","Canada",636000,43.7668,-79.4163
"Winnipeg","Canada",632063,49.8844,-97.147
"Vancouver","Canada",600000,49.2497,-123.119
"Scarborough","Canada",600000,43.7722,-79.2567
"Quebec","Canada",528595,46.8123,-71.2145
"Hamilton","Canada",519949,43.2501,-79.8496
"Brampton","Canada",433806,43.6834,-79.7663
"Surrey","Canada",394976,49.1063,-122.825
"Laval","Canada",376845,45.57,-73.692
"Halifax","Canada",359111,44.6453,-63.5724
"Etobicoke","Canada",347948,43.6542,-79.5671
"London","Canada",346765,42.9834,-81.233
"Okanagan","Canada",297601,50.3639,-119.35
"Victoria","Canada",289625,48.4329,-123.369
"Windsor","Canada",278013,42.3001,-83.0165
"Markham","Canada",261573,43.8668,-79.2663
"Oshawa","Canada",247989,43.9001,-78.8496
"Gatineau","Canada",242124,45.4772,-75.7016
"Vaughan","Canada",238866,43.8361,-79.4983
"Kitchener","Canada",233700,43.4254,-80.5112
"Longueuil","Canada",229330,45.5312,-73.5181
"Burnaby","Canada",202799,49.2664,-122.953
"Ladner","Canada",200000,49.0894,-123.082
"Saskatoon","Canada",198958,52.1324,-106.669
"Richmond Hill","Canada",185541,43.8711,-79.4372
"Barrie","Canada",182041,44.4001,-79.6663
"Richmond","Canada",182000,49.17,-123.137
"Nepean","Canada",180000,45.3521,-75.7398
"Regina","Canada",176183,50.4501,-104.618
"Oakville","Canada",165697,43.4501,-79.6829
"Burlington","Canada",164415,43.3862,-79.8371
"Greater Sudbury","Canada",157857,46.49,-80.99
"Abbotsford","Canada",151683,49.058,-122.253
"Saguenay","Canada",143692,48.4168,-71.0657
"St. Catharines","Canada",131989,43.1713,-79.2427
"Sherbrooke","Canada",129447,45.4001,-71.8991
"Anmore","Canada",126456,49.3164,-122.853
"Levis","Canada",126396,46.8033,-71.1779
"Kelowna","Canada",125109,49.8831,-119.486
"Cambridge","Canada",120372,43.3601,-80.3127
"Trois-Rivieres","Canada",119693,46.3451,-72.5477
"Guelph","Canada",115760,43.5459,-80.256
"East York","Canada",115365,43.6905,-79.3279
"Coquitlam","Canada",114565,49.283,-122.753
"Kingston","Canada",114195,44.2298,-76.481
"Sydney","Canada",105968,46.1351,-60.1831
"Delta","Canada",101668,49.144,-122.907
"Dartmouth","Canada",101343,44.6713,-63.5772
"Thunder Bay","Canada",99334,48.382,-89.2502
"St. John's","Canada",99182,47.5649,-52.7093
"Waterloo","Canada",97475,43.4668,-80.5164
"Terrebonne","Canada",94703,45.7,-73.6473
"Ajax","Canada",90167,43.8501,-79.0329
"Saint John","Canada",87857,45.2727,-66.0677
"Pickering","Canada",87838,43.9001,-79.1329
"Brantford","Canada",87759,43.1334,-80.2664
"Moncton","Canada",87467,46.0945,-64.7965
"Nanaimo","Canada",84905,49.1664,-123.94
"Milton","Canada",84362,43.5168,-79.8829
"Sarnia","Canada",82998,42.9787,-82.4041
"Niagara Falls","Canada",82000,43.1001,-79.0663
"Willowdale","Canada",79440,43.7667,-79.3991
"Saint-Laurent","Canada",77391,45.5001,-73.6658
"Chilliwack","Canada",77000,49.1664,-121.953
"Repentigny","Canada",76237,45.7422,-73.4501
"Fort McMurray","Canada",76000,56.7268,-111.381
"Peterborough","Canada",75877,44.3001,-78.3162
"Sault Ste. Marie","Canada",74948,46.5168,-84.3333
"Newmarket","Canada",74295,44.0501,-79.4663
"La Haute-Saint-Charles","Canada",74070,46.8903,-71.3722
"Red Deer","Canada",73593,52.2668,-113.802
"Saint-Leonard","Canada",73423,45.5877,-73.595
"Saint-Jean-sur-Richelieu","Canada",71613,45.3071,-73.2626
"Lethbridge","Canada",70617,49.7,-112.819
"Maple Ridge","Canada",70000,49.2194,-122.602
"Brossard","Canada",69575,45.4501,-73.4658
"Kamloops","Canada",68714,50.6665,-120.319
"Notre-Dame-de-Grace","Canada",67000,45.4767,-73.6143
"White Rock","Canada",66450,49.0164,-122.803
"Prince George","Canada",65558,53.9166,-122.753
"Medicine Hat","Canada",63138,50.0393,-110.677
"Norfolk County","Canada",60847,42.8334,-80.383
"Drummondville","Canada",59489,45.8834,-72.4824
"New Westminster","Canada",58549,49.2068,-122.911
"St. Albert","Canada",57719,53.6334,-113.635
"Sherwood Park","Canada",55063,53.5168,-113.319
"Saint-Jerome","Canada",54948,45.7804,-74.0036
"Jonquiere","Canada",54842,48.4165,-71.2488
"Granby","Canada",53979,45.4001,-72.7324
"Fredericton","Canada",52337,45.9454,-66.6656
"Welland","Canada",50331,42.9834,-79.2496
"Saint-Hyacinthe","Canada",50326,45.6308,-72.957
"North Bay","Canada",50170,46.3168,-79.4663
"Belleville","Canada",49454,44.1668,-77.3828
"Shawinigan","Canada",49161,46.5667,-72.7491
"Dollard-Des Ormeaux","Canada",48930,45.4945,-73.8242
"Cornwall","Canada",48821,45.0181,-74.7281
"North Vancouver","Canada",48000,49.3164,-123.069
"Vernon","Canada",47274,50.2673,-119.273
"Blainville","Canada",46493,45.6668,-73.8825
"West End","Canada",44560,49.2833,-123.133
"Chatham","Canada",43550,42.4122,-82.1849
"Timmins","Canada",42997,48.4669,-81.3331
"Chateauguay","Canada",42786,45.3834,-73.7492
